nombre,params,metrics
ES3,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.001762
rmse                 0.040733
mae                  0.033678
mape                 0.322126
mdape                0.314908
smape                0.391114
coverage             0.535972"
ES3,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.014837
rmse                 0.116057
mae                   0.11209
mape                 1.042036
mdape                1.064802
smape                1.638558
coverage             0.038426"
ES3,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.008592
rmse                  0.08755
mae                  0.082271
mape                 0.831097
mdape                0.837382
smape                1.189773
coverage             0.879608"
ES4,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.001392
rmse                 0.035987
mae                  0.031302
mape                 0.211415
mdape                0.210734
smape                0.244759
coverage             0.464234"
ES4,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000726
rmse                 0.026073
mae                  0.021552
mape                 0.146979
mdape                0.137403
smape                0.158992
coverage             0.764354"
ES4,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.000706
rmse                 0.025709
mae                  0.021147
mape                 0.143987
mdape                0.134042
smape                0.155699
coverage             0.673536"
ES4,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000841
rmse                 0.028164
mae                  0.023459
mape                 0.158318
mdape                0.148948
smape                0.175332
coverage             0.734067"
ES4,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.005468
rmse                 0.069225
mae                  0.066116
mape                 0.450091
mdape                0.449982
smape                0.613006
coverage             0.312568"
ES4,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.002228
rmse                 0.044895
mae                  0.040849
mape                 0.275545
mdape                0.274204
smape                0.331851
coverage             0.430916"
ES4,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.006157
rmse                  0.07299
mae                  0.069891
mape                 0.475512
mdape                0.475061
smape                0.664653
coverage             0.270738"
ES4,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.000863
rmse                 0.028194
mae                  0.023576
mape                 0.160092
mdape                0.155897
smape                0.176866
coverage             0.633348"
ES4,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000715
rmse                 0.026017
mae                  0.021379
mape                 0.145268
mdape                 0.13378
smape                0.158074
coverage             0.772002"
ES4,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.007574
rmse                 0.082081
mae                  0.079512
mape                 0.552409
mdape                 0.56827
smape                0.817113
coverage             0.554905"
ES5,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                   0.00057
rmse                 0.023419
mae                  0.018186
mape                 0.249192
mdape                  0.1777
smape                0.223387
coverage              0.77658"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000555
rmse                 0.023181
mae                  0.018136
mape                 0.265009
mdape                0.174405
smape                0.223228
coverage             0.773121"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.000551
rmse                 0.023115
mae                    0.0181
mape                 0.265989
mdape                0.174159
smape                0.222896
coverage              0.76968"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000573
rmse                  0.02349
mae                  0.018238
mape                 0.252824
mdape                0.178488
smape                0.224221
coverage             0.775149"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.011673
rmse                 0.097999
mae                  0.093656
mape                 1.021527
mdape                1.018198
smape                1.551958
coverage             0.646284"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.003938
rmse                 0.057244
mae                  0.052865
mape                 0.568176
mdape                0.563803
smape                0.835673
coverage             0.327534"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.002078
rmse                 0.041896
mae                  0.036837
mape                 0.411197
mdape                0.381071
smape                0.484642
coverage             0.963783"
ES5,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.000614
rmse                 0.024276
mae                  0.018893
mape                 0.253003
mdape                0.184775
smape                0.237504
coverage             0.764902"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000585
rmse                 0.023707
mae                  0.018405
mape                 0.253225
mdape                0.180854
smape                0.226146
coverage             0.772548"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.001199
rmse                 0.033834
mae                   0.02812
mape                 0.311254
mdape                0.306727
smape                0.368201
coverage             0.984784"
